job_id~job_title~company_name~company_location~pay_range~job_level~employment_type~job_posted_date~industry
3847781424~Data Analyst~Stripe~Canada~~Mid-Senior level~Full-time~2024-07-30 14:09:22~Software Development, Financial Services, and Technology, Information and Internet
3980280311~Junior Data Analyst~Botsford Associates~Toronto, Ontario, Canada~~Associate~Contract~2024-07-23 14:09:23~Business Consulting and Services and Capital Markets
3888492448~Data Analyst~B3 Systems~Toronto, Ontario, Canada~~Not Applicable~Full-time~2024-04-15 14:09:24~Manufacturing, Software Development, and Technology, Information and Internet
3993624380~Data Analyst~Safyre Labs � Jewlr~Greater Toronto Area, Canada~~Associate~Full-time~2024-08-08 14:09:25~Retail Luxury Goods and Jewelry, Online and Mail Order Retail, and Retail
3995863381~Data Analyst~Twizweb~Canada~~Entry level~Full-time~2024-08-11 14:09:26~Marketing Services
3967967043~ICQA Data Analyst~Amazon~Bolton, Ontario, Canada~~Not Applicable~Full-time~2024-07-30 14:09:27~Software Development
3967962890~ICQA Data Analyst~Amazon~Brampton, Ontario, Canada~~Not Applicable~Full-time~2024-07-30 14:09:27~Software Development
3996771309~Data Analyst~Runnymede Healthcare Centre~Toronto, Ontario, Canada~~Associate~Part-time~2024-08-09 14:09:28~Hospitals and Health Care
3960939194~ICQA Data Analyst - Bolton, ON, YYZ7~Amazon~Bolton, Ontario, Canada~~Not Applicable~Full-time~2024-08-11 14:09:29~Software Development
3987631471~Data Analyst~Apex Systems~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-06 14:09:31~Retail
3980280311~Junior Data Analyst~Botsford Associates~Toronto, Ontario, Canada~~Associate~Contract~2024-07-23 14:09:34~Business Consulting and Services and Capital Markets
3888492448~Data Analyst~B3 Systems~Toronto, Ontario, Canada~~Not Applicable~Full-time~2024-04-15 14:09:34~Manufacturing, Software Development, and Technology, Information and Internet
3999161446~Data Analyst~Borrowell~Toronto, Ontario, Canada~~Entry level~Full-time~2024-08-12 14:09:35~Non-profit Organizations and Primary and Secondary Education
3993624380~Data Analyst~Safyre Labs � Jewlr~Greater Toronto Area, Canada~~Associate~Full-time~2024-08-08 14:09:37~Retail Luxury Goods and Jewelry, Online and Mail Order Retail, and Retail
3995863381~Data Analyst~Twizweb~Canada~~Entry level~Full-time~2024-08-11 14:09:39~Marketing Services
3967967043~ICQA Data Analyst~Amazon~Bolton, Ontario, Canada~~Not Applicable~Full-time~2024-07-30 14:09:40~Software Development
3967962890~ICQA Data Analyst~Amazon~Brampton, Ontario, Canada~~Not Applicable~Full-time~2024-07-30 14:09:40~Software Development
3996771309~Data Analyst~Runnymede Healthcare Centre~Toronto, Ontario, Canada~~Associate~Part-time~2024-08-09 14:09:42~Hospitals and Health Care
3995193737~Staff Data Analyst~HelloFresh~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-08-07 14:09:44~Consumer Services
3960939194~ICQA Data Analyst - Bolton, ON, YYZ7~Amazon~Bolton, Ontario, Canada~~Not Applicable~Full-time~2024-08-11 14:09:45~Software Development
3888492448~Data Analyst~B3 Systems~Toronto, Ontario, Canada~~Not Applicable~Full-time~2024-04-15 14:09:48~Manufacturing, Software Development, and Technology, Information and Internet
3999161446~Data Analyst~Borrowell~Toronto, Ontario, Canada~~Entry level~Full-time~2024-08-12 14:09:50~Non-profit Organizations and Primary and Secondary Education
3993624380~Data Analyst~Safyre Labs � Jewlr~Greater Toronto Area, Canada~~Associate~Full-time~2024-08-08 14:09:52~Retail Luxury Goods and Jewelry, Online and Mail Order Retail, and Retail
3995863381~Data Analyst~Twizweb~Canada~~Entry level~Full-time~2024-08-11 14:09:54~Marketing Services
3967967043~ICQA Data Analyst~Amazon~Bolton, Ontario, Canada~~Not Applicable~Full-time~2024-07-30 14:09:54~Software Development
3967962890~ICQA Data Analyst~Amazon~Brampton, Ontario, Canada~~Not Applicable~Full-time~2024-07-30 14:09:56~Software Development
3996771309~Data Analyst~Runnymede Healthcare Centre~Toronto, Ontario, Canada~~Associate~Part-time~2024-08-09 14:09:58~Hospitals and Health Care
3995193737~Staff Data Analyst~HelloFresh~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-08-07 14:09:59~Consumer Services
3960939194~ICQA Data Analyst - Bolton, ON, YYZ7~Amazon~Bolton, Ontario, Canada~~Not Applicable~Full-time~2024-08-11 14:10:00~Software Development
3987631471~Data Analyst~Apex Systems~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-06 14:10:02~Retail
3993624380~Data Analyst~Safyre Labs � Jewlr~Greater Toronto Area, Canada~~Associate~Full-time~2024-08-08 14:10:05~Retail Luxury Goods and Jewelry, Online and Mail Order Retail, and Retail
3995863381~Data Analyst~Twizweb~Canada~~Entry level~Full-time~2024-08-11 14:10:06~Marketing Services
3967967043~ICQA Data Analyst~Amazon~Bolton, Ontario, Canada~~Not Applicable~Full-time~2024-07-30 14:10:07~Software Development
3967962890~ICQA Data Analyst~Amazon~Brampton, Ontario, Canada~~Not Applicable~Full-time~2024-07-30 14:10:07~Software Development
3960939194~ICQA Data Analyst - Bolton, ON, YYZ7~Amazon~Bolton, Ontario, Canada~~Not Applicable~Full-time~2024-08-11 14:10:08~Software Development
3996771309~Data Analyst~Runnymede Healthcare Centre~Toronto, Ontario, Canada~~Associate~Part-time~2024-08-09 14:10:09~Hospitals and Health Care
3953406304~BI Analyst~Fusemachines~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-07-14 14:10:12~Internet Publishing
3987631471~Data Analyst~Apex Systems~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-06 14:10:13~Retail
3980261600~Business Data Analyst~Scotiabank~Toronto, Ontario, Canada~~Not Applicable~Full-time~2024-08-11 14:10:14~Banking
3971395541~Data Analyst Intern~Klue~Vancouver, British Columbia, Canada~CA$44,000.00/yr - CA$44,700.00/yr~Internship~Other~2024-07-14 14:10:15~Software Development
3993624380~Data Analyst~Safyre Labs � Jewlr~Greater Toronto Area, Canada~~Associate~Full-time~2024-08-08 14:10:18~Retail Luxury Goods and Jewelry, Online and Mail Order Retail, and Retail
3995863381~Data Analyst~Twizweb~Canada~~Entry level~Full-time~2024-08-11 14:10:18~Marketing Services
3967967043~ICQA Data Analyst~Amazon~Bolton, Ontario, Canada~~Not Applicable~Full-time~2024-07-30 14:10:19~Software Development
3967962890~ICQA Data Analyst~Amazon~Brampton, Ontario, Canada~~Not Applicable~Full-time~2024-07-30 14:10:20~Software Development
3996771309~Data Analyst~Runnymede Healthcare Centre~Toronto, Ontario, Canada~~Associate~Part-time~2024-08-09 14:10:22~Hospitals and Health Care
3995193737~Staff Data Analyst~HelloFresh~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-08-07 14:10:23~Consumer Services
3960939194~ICQA Data Analyst - Bolton, ON, YYZ7~Amazon~Bolton, Ontario, Canada~~Not Applicable~Full-time~2024-08-11 14:10:24~Software Development
3987631471~Data Analyst~Apex Systems~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-06 14:10:24~Retail
3980261600~Business Data Analyst~Scotiabank~Toronto, Ontario, Canada~~Not Applicable~Full-time~2024-08-11 14:10:26~Banking
3971395541~Data Analyst Intern~Klue~Vancouver, British Columbia, Canada~CA$44,000.00/yr - CA$44,700.00/yr~Internship~Other~2024-07-14 14:10:27~Software Development
3967967043~ICQA Data Analyst~Amazon~Bolton, Ontario, Canada~~Not Applicable~Full-time~2024-07-30 14:10:29~Software Development
3967962890~ICQA Data Analyst~Amazon~Brampton, Ontario, Canada~~Not Applicable~Full-time~2024-07-30 14:10:30~Software Development
